seed	sentence	label
NOTHING	SRC	ambiguous
President	I think that this is a positive message that the President-in-Office of the Council must include in her speech, because we still have time to include the Charter in Article 6 of the Treaties.	unambiguous_female
NOTHING	Let us call it hope capital instead, as I proposed to Mrs Kauppi, who agreed with me.	unambiguous_female
colleague	I welcome this excellent report from my colleague Mrs Skinner.	unambiguous_female
chairman	For all these reasons, we, as our chairman, Mrs Poettering, has already said, are going to vote in favour of this Charter.	unambiguous_female
chairman	The chairman of the group to which the majority of governments in the European Union belong said quite clearly that she will not approve the reform of the Treaty of Nice if no reference is made in Article 6.	unambiguous_female
colleague	My colleague Mrs Armonie Bordes cuttingly pointed out yesterday the little benefits of deploying community capital and pension premiums for entrepreneurial risks.	unambiguous_female
co	According to the co-rapporteur, Mrs Duff, this is a major step towards improving the quality of European integration.	unambiguous_female
leader	Finally, I want to say a warm thank-you to our skilled delegation leader, Mrs Méndez de Vigo.	unambiguous_female
Secretary	One example is the report drawn up under the responsibility of Mrs Demirok, Secretary of the Turkish Supreme Coordination Council for Human Rights, who has proposed a very wide-ranging raft of reforms to the Constitution.	unambiguous_female
Democrat	I would like, in particular, to thank Mrs Van den Burg, a Dutch Social Democrat who worked particularly hard on Article 25.	unambiguous_female
Taoiseach	Recently our Taoiseach, Mrs Ahern, clearly stated that the European Charter of Fundamental Human Rights should remain a political, not a legal document.	unambiguous_female
colleague	I congratulate my Socialist colleague, Mrs Marinho, for her excellent report on strengthening the fight against international money laundering and organised crime.	unambiguous_female
daughter	And I am not saying this merely because my daughter has recently graduated as a fully-fledged lawyer.	unambiguous_female
representative	Our representative has identified and brought Turkey's attention to this common ground in her really excellent report, for which I too wish to thank her.	unambiguous_female
Commissioner	I should particularly like to address Mrs Verheugen, as the Commissioner with responsibility for enlargement.	unambiguous_female
Commissioner	The Commissioner herself referred to this genocide as if it were something forgotten.	unambiguous_female
Minister	Indeed, on Thursday evening, I assessed the situation with Mrs Josselin, the French Minister responsible for these matters, and I know that she is wholeheartedly behind the idea of promoting the process as we see it.	unambiguous_female
Madam	Madam President, my initial impression of President Kostunica is that she is a very pragmatic politician since she assumed power in the Federal Republic of Yugoslavia.	unambiguous_female
NOTHING	She has already visited Sarajevo, she has attended an informal regional meeting in Skopje and she has also been to Moscow.	unambiguous_female
President	I hope that President Kostunica will steadily consolidate her position as the new democratic leadership in the Federal Republic of Yugoslavia at all political levels.	unambiguous_female
President	I should like to mention that the President of the Republic will be accompanied, as is usually the case, by her delegation.	unambiguous_female
NOTHING	I have been informed that Mrs Ferrero-Waldner intends to come and I will be only too pleased to see her.	unambiguous_female
Commissioner	I do not know, especially as it is the Commissioner for Agriculture, Rural Development and Fisheries, Mrs Franz Fischler who is negotiating this Fisheries Agreement.	unambiguous_female
Commissioner	Anyway, allow me to say that Commissioner Fischler is neither Mediterranean nor is she from the Atlantic, and what is more we are unfortunate enough to have a Director-General for Fisheries who is from the north Atlantic and only learnt about fisheries problems when she was recently appointed to that post.	unambiguous_female
letter	I have a letter from another constituent of mine who draws to my attention that she has been in prison since 28 March 2000 on similar suspicion.	unambiguous_female
Commissioner	We need to make use of all the information possibilities that Commissioner Verheugen spoke of in her very reflective and elegant speech today.	unambiguous_female
Commissioner	It would be a good idea for Commissioner Patten, who has a great deal of experience, not to say wisdom, in managing international crises, to add to the visits which she has made to various regions of the Balkans by going to the headquarters of the Agency in Thessaloniki in order to see how this department works.	unambiguous_female
Commissioner	The Commissioner, when she replied to my report last month, seemed to get her geographical situations slightly mixed up: she did not know whether she was going to Scotland, Ireland or Northern Ireland.	unambiguous_female
deputy	First and foremost, I would like to compliment the deputy, Mrs Garot, on the fact that she has done her utmost to see if she can do something to help at a time when pig farming is lapsing into crisis.	unambiguous_female
President	I welcome the President of the Court of Auditors, Mrs Karlsson, and I immediately give her the floor.	unambiguous_female
NOTHING	When you assumed office, Mrs Schreyer, you assured us that you would strive to achieve this.	unambiguous_female
President	We have met President Prodi and have seen that she has personally taken on the development of the White Paper in accordance with many of the recommendations that have been received year after year from the Court over which Mrs Karlsson so ably presides.	unambiguous_female
Madam	Madam President, I join the general congratulations to Mrs González Álvarez who has been a sympathetic and inclusive spokesperson.	unambiguous_female
Commissioner	The Commission has begun to take a tentative but welcome step in that direction and perhaps the Commissioner will say more about that when she replies.	unambiguous_female
rapporteur	We concur with the rapporteur where she has highlighted the importance of providing information about the risks, and the need for transparency, especially in the sphere of health and safety.	unambiguous_female
NOTHING	And this is certainly not the fault of the work carried out by Mrs González Álvarez, who has endeavoured very successfully to improve the legislation under consideration, but is inherent in both the guidelines and parts of the proposal itself.	unambiguous_female
daughter	Then, some years later, when I allowed my second daughter, who is six or seven years younger, to go out on her own, her older sister protested: "You never let me go out on my own and here you are, letting my sister out alone, and she is younger than I was"!	unambiguous_female
