ID	Europarl_ID	SET	SRC	REF-G	REF-N	COMMON	GENDER
1	ep-en-it-10000	Set-G	I think that this is a positive message that the President-in-Office of the Council must include in her speech, because we still have time to include the Charter in Article 6 of the Treaties.	Credo che si tratti di un messaggio positivo, che la Presidente del Consiglio deve includere nel suo discorso, in quanto siamo ancora in tempo per inserire la Carta nell'articolo 6 dei Trattati.	Credo che si tratti di un messaggio positivo, che la Presidenza del Consiglio deve includere nel suo discorso, in quanto siamo ancora in tempo per inserire la Carta nell'articolo 6 dei Trattati.	no	F
2	ep-en-it-1003	Set-G	Let us call it hope capital instead, as I proposed to Mrs Kauppi, who agreed with me.	Chiamiamolo invece capitale di speranza, come avevo proposto all'onorevole Kauppi, che si era dichiarata d'accordo.	Chiamiamolo invece capitale di speranza, come avevo proposto all'onorevole Kauppi, che aveva detto di essere d'accordo.	yes	F
3	ep-en-it-1005	Set-G	I welcome this excellent report from my colleague Mrs Skinner.	Valuto positivamente la relazione della collega, onorevole Skinner.	Valuto positivamente la relazione dell'onorevole collega Skinner.	no	F
4	ep-en-it-10140	Set-G	For all these reasons, we, as our chairman, Mrs Poettering, has already said, are going to vote in favour of this Charter.	Per tutte queste ragioni, come ha detto precedentemente la nostra presidente, la onorevole Poettering, voteremo a favore della Carta.	Per tutte queste ragioni, come ha detto precedentemente la nostra presidenza, nella figura dell'onorevole Poettering, voteremo a favore della Carta.	no	F
5	ep-en-it-10149	Set-G	The chairman of the group to which the majority of governments in the European Union belong said quite clearly that she will not approve the reform of the Treaty of Nice if no reference is made in Article 6.	La presidente del gruppo della maggior parte dei governi dell'Unione europea ha detto con estrema chiarezza che lei non approverà la riforma del Trattato di Nizza senza un riferimento all'articolo 6.	Chi presiede il gruppo della maggior parte dei governi dell'Unione europea ha detto con estrema chiarezza che non approverà la riforma del Trattato di Nizza senza un riferimento all'articolo 6.	no	F
6	ep-en-it-1015	Set-G	My colleague Mrs Armonie Bordes cuttingly pointed out yesterday the little benefits of deploying community capital and pension premiums for entrepreneurial risks.	La mia collega, onorevole Armonie Bordes, ieri ha indicato in termini molto duri gli scarsi vantaggi di usare i fondi della comunità e i contributi pensionistici per i rischi imprenditoriali.	L'onorevole collega Armonie Bordes, ieri ha indicato in termini molto duri gli scarsi vantaggi di usare i fondi della comunità e i contributi pensionistici per i rischi imprenditoriali.	yes	F
7	ep-en-it-10173	Set-G	According to the co-rapporteur, Mrs Duff, this is a major step towards improving the quality of European integration.	Secondo la correlatrice, onorevole Duff, si tratterebbe di un passo avanti enorme per migliorare la qualità dell'integrazione europea.	Secondo chi ha affiancato la stesura della relazione, onorevole Duff, si tratterebbe di un passo avanti enorme per migliorare la qualità dell'integrazione europea.	no	F
8	ep-en-it-10188	Set-G	Finally, I want to say a warm thank-you to our skilled delegation leader, Mrs Méndez de Vigo.	Infine ringrazio sentitamente la nostra abile capodelegazione, la onorevole Méndez de Vigo.	Infine ringrazio sentitamente l'onorevole Méndez de Vigo, che svolge con abilità il ruolo di capo della nostra delegazione.	no	F
9	ep-en-it-10317	Set-G	One example is the report drawn up under the responsibility of Mrs Demirok, Secretary of the Turkish Supreme Coordination Council for Human Rights, who has proposed a very wide-ranging raft of reforms to the Constitution.	Ne è testimonianza la relazione della signora Demirok, segretaria dell'Alto consiglio per il coordinamento turco dei diritti umani, che propone un insieme assai voluminoso di riforme costituzionali.	Ne è testimonianza la relazione di Demiroc, appartenente alla segreteria dell'Alto consiglio per il coordinamento turco dei diritti umani, che propone un insieme assai voluminoso di riforme costituzionali.	no	F
10	ep-en-it-1038	Set-G	I would like, in particular, to thank Mrs Van den Burg, a Dutch Social Democrat who worked particularly hard on Article 25.	Desidero ringraziare in particolare l'onorevole Van den Burg, socialdemocratica olandese che si è impegnata particolarmente per l'articolo 25.	Desidero ringraziare in particolare l'onorevole Van den Burg, del partito socialdemocratico olandese che ha profuso i suoi sforzi particolarmente per l'articolo 25.	yes	F
11	ep-en-it-10551	Set-G	Recently our Taoiseach, Mrs Ahern, clearly stated that the European Charter of Fundamental Human Rights should remain a political, not a legal document.	Recentemente la nostra Taoiseach, la signora Ahern, ha affermato chiaramente che la Carta europea dei diritti fondamentali deve rimanere un documento politico, non giuridico.	Recentemente Ahern, Taoiseach della nostra nazione, ha affermato chiaramente che la Carta europea dei diritti fondamentali deve rimanere un documento politico, non giuridico.	no	F
12	ep-en-it-10610	Set-G	I congratulate my Socialist colleague, Mrs Marinho, for her excellent report on strengthening the fight against international money laundering and organised crime.	Mi congratulo con la collega socialista, la onorevole Marinho, per l'eccellente relazione sul rafforzamento della lotta contro il riciclaggio di denaro e la criminalità organizzata internazionali.	Mi congratulo con l'onorevole Marinho, socialista come noi, per l'eccellente relazione sul rafforzamento della lotta contro il riciclaggio di denaro e la criminalità organizzata internazionali.	no	F
13	ep-en-it-10644	Set-G	And I am not saying this merely because my daughter has recently graduated as a fully-fledged lawyer.	Dico questo non soltanto perché mia figlia si è appena laureata avvocata a pieno titolo.	Dico questo non soltanto perché la persona minorenne di cui sono responsabile ha appena ottenuto il diritto di esercitare l'avvocatura a pieno titolo.	no	F
14	ep-en-it-10689	Set-G	Our representative has identified and brought Turkey's attention to this common ground in her really excellent report, for which I too wish to thank her.	La nostra rappresentante è andata in cerca di questo terreno comune per indicarlo alla Turchia, con una relazione davvero eccellente per la quale voglio a mia volta ringraziarla.	Chi ci rappresenta ha cercato questo terreno comune per indicarlo alla Turchia, con una relazione davvero eccellente per la quale voglio a mia volta esprimere un ringraziamento.	no	F
15	ep-en-it-10704	Set-G	I should particularly like to address Mrs Verheugen, as the Commissioner with responsibility for enlargement.	Mi rivolgo in particolare alla Commissaria Verheugen, responsabile in materia di ampliamento.	Mi rivolgo in particolare Verheugen, componente della Commissione, responsabile in materia di ampliamento.	no	F
16	ep-en-it-10707	Set-G	The Commissioner herself referred to this genocide as if it were something forgotten.	La Commissaria stessa parlava di quel genocidio come di una questione chiusa.	Perfino il membro della Commissione parlava di quel genocidio come di una questione chiusa.	no	F
17	ep-en-it-10846	Set-G	Indeed, on Thursday evening, I assessed the situation with Mrs Josselin, the French Minister responsible for these matters, and I know that she is wholeheartedly behind the idea of promoting the process as we see it.	D'altro canto, giovedì sera ho fatto il punto con la signora Josselin, la Ministra francese responsabile della questione, e so anche che è senz'altro d'accordo nel promuovere il processo nei termini da noi indicati.	D'altro canto, giovedì sera ho fatto il punto con Josselin, titolare del Ministero, che se ne occupa in Francia, e so anche che è senz'altro d'accordo nel promuovere il processo nei termini da noi indicati.	no	F
18	ep-en-it-11045	Set-G	Madam President, my initial impression of President Kostunica is that she is a very pragmatic politician since she assumed power in the Federal Republic of Yugoslavia.	Signora Presidente, la mia prima impressione della Presidente Kostunica è che si tratti di una politica molto pragmatica da quando ha assunto la sua carica nella Repubblica federale di Iugoslavia.	Presidente, la mia prima impressione della presidenza nella persona di Kostunica è che si tratti di una figura politica molto pragmatica da quando ha assunto la sua carica nella Repubblica federale di Iugoslavia.	no	F
