ID	Europarl_ID	SET	SRC	REF-G	REF-N1	REF-N2	REF-N3	GENDER
2	ep-en-it-1003	Set-G	Let us call it hope capital instead, as I proposed to Mrs Kauppi, who agreed with me.	Chiamiamolo invece capitale di speranza, come avevo proposto all'onorevole Kauppi, che si era dichiarata d'accordo.	Chiamiamolo invece capitale di speranza, come avevo proposto all'onorevole Kauppi, che era d'accordo con me.	Chiamiamolo invece capitale di speranza, come avevo proposto all'onorevole Kauppi, che aveva detto di essere d'accordo.	Chiamiamolo invece capitale di speranza, come avevo proposto all'onorevole Kauppi, che ha sostenuto il mio parere.	F
6	ep-en-it-1015	Set-G	My colleague Mrs Armonie Bordes cuttingly pointed out yesterday the little benefits of deploying community capital and pension premiums for entrepreneurial risks.	La mia collega, onorevole Armonie Bordes, ieri ha indicato in termini molto duri gli scarsi vantaggi di usare i fondi della comunità e i contributi pensionistici per i rischi imprenditoriali.	L'onorevole collega Armonie Bordes ieri ha indicato in termini molto duri gli scarsi vantaggi di usare i fondi della comunità e i contributi pensionistici per i rischi imprenditoriali.	L'onorevole collega Armonie Bordes, ieri ha indicato in termini molto duri gli scarsi vantaggi di usare i fondi della comunità e i contributi pensionistici per i rischi imprenditoriali.	L'onorevole collega Armonie Bordes, ieri ha indicato in termini molto duri gli scarsi vantaggi di usare i fondi della comunità e i contributi pensionistici per i rischi imprenditoriali.	F
10	ep-en-it-1038	Set-G	I would like, in particular, to thank Mrs Van den Burg, a Dutch Social Democrat who worked particularly hard on Article 25.	Desidero ringraziare in particolare l'onorevole Van den Burg, socialdemocratica olandese che si è impegnata particolarmente per l'articolo 25.	Desidero ringraziare in particolare l'onorevole Van den Burg del partito socialdemocratico olandese, in quanto ha lavorato particolarmente sodo per l'articolo 25.	Desidero ringraziare in particolare l'onorevole Van den Burg, del partito socialdemocratico olandese che ha profuso i suoi sforzi particolarmente per l'articolo 25.	Desidero ringraziare in particolare l'onorevole Van den Burg del partito socialdemocratico olandese, che ha lavorato con particolare impegno sull'articolo 25.	F
22	ep-en-it-11155	Set-G	I have been informed that Mrs Ferrero-Waldner intends to come and I will be only too pleased to see her.	Mi dicono che la signora Ferrero-Waldner verrà e sarà mio piacere riceverla.	Mi dicono che Ferrero-Waldner verrà e mi occuperò io volentieri dell'accoglienza.	Mi dicono che Ferrero-Waldner verrà e l'accoglierò con piacere.	Mi dicono che Ferrero-Waldner ha intenzione di venire e sono molto felice di questo incontro.	F
31	ep-en-it-11624	Set-G	When you assumed office, Mrs Schreyer, you assured us that you would strive to achieve this.	Al momento della sua nomina, signora Schreyer, ci aveva promesso che si sarebbe adoperata in tal senso.	Al momento della sua nomina, Schreyer ci aveva promesso che avrebbe fatto il possibile per raggiungere questo scopo.	Al momento della sua nomina, Schreyer, ci aveva promesso un impegno in tal senso.	Al momento della sua nomina, Schreyer ci aveva promesso che avrebbe lavorato per raggiungere questo obiettivo.	F
33	ep-en-it-11842	Set-G	Madam President, I join the general congratulations to Mrs González Álvarez who has been a sympathetic and inclusive spokesperson.	Signora Presidente, mi associo alle congratulazioni generali alla onorevole Gonzáles Álvarez, che è stata una portavoce comprensiva ed esauriente.	Gentile Presidente, mi associo alle congratulazioni generali all'onorevole Gonzáles Álvarez, portavoce cordiale ed esauriente.	Presidente, mi associo alle congratulazioni generali all'onorevole Gonzáles Álvarez, che ha riferito in maniera comprensiva ed esauriente.	Presidente, mi associo alle congratulazioni generali all'onorevole Gonzáles Álvarez, che ha saputo farsi portavoce con comprensione e disponibilità.	F
38	ep-en-it-11923	Set-G	In the hope of seeing the final line taken by the spokesperson endorsed and declaring my support for her regarding the amendments which are to be put to the vote in plenary, I trust that this directive will rapidly continue through the procedures towards the confirmation of the Union's undertaking.	Nella speranza di veder confermata la linea definitiva della portavoce e dichiarando il mio accordo con lei sugli emendamenti ripresentati per il voto della plenaria, mi auguro che questa direttiva prosegua rapidamente il suo iter verso conferma dell'impegno dell'Unione.	Nella speranza di veder confermata la linea definitiva della persona incaricata a rendere note le decisioni e dichiarando il mio accordo con quest'ultima sugli emendamenti ripresentati per il voto della plenaria, mi auguro che questa direttiva prosegua rapidamente il suo iter verso conferma dell'impegno dell'Unione.	Nella speranza di veder confermata la linea definitiva di chi riferisce le posizioni e dichiarando il mio accordo con tale persona sugli emendamenti ripresentati per il voto della plenaria, mi auguro che questa direttiva prosegua rapidamente il suo iter verso conferma dell'impegno dell'Unione.	Nella speranza di veder confermata la linea definitiva scelta dalla persona portavoce e dichiarando il mio accordo con quest'ultima sugli emendamenti ripresentati per il voto della plenaria, mi auguro che questa direttiva prosegua rapidamente il suo iter verso conferma dell'impegno dell'Unione.	F
41	ep-en-it-12085	Set-G	I believe that the day when women achieve real financial independence through their work, then they will be truly free and all other inequalities will have disappeared.	Credo che il giorno in cui le donne otterranno con il loro lavoro una reale indipendenza economica, allora saranno davvero libere e tutte le altre disuguaglianze scompariranno.	Credo che il giorno in cui le persone otterranno con il loro lavoro una reale indipendenza economica, allora saranno davvero libere e tutte le altre disuguaglianze scompariranno.	Credo che il giorno in cui le persone otterranno con il loro lavoro una reale indipendenza economica, allora godranno davvero della libertà e tutte le altre disuguaglianze scompariranno.	Credo che il giorno in cui le persone otterranno con il loro lavoro una reale indipendenza economica, allora saranno davvero libere e tutte le altre disuguaglianze scompariranno.	F
57	ep-en-it-13059	Set-G	Madam President, I would first of all like to thank our representative and welcome the initiative she has taken to engage in dialogue with the Council and the Commission immediately following this first reading in order to work towards ensuring that better consideration is given to the amendments desired by Parliament.	Signora Presidente, vorrei innanzi tutto ringraziare la nostra rappresentante e congratularmi per la sua iniziativa di avviare il dialogo con Consiglio e Commissione fin da questa prima lettura, in modo che gli emendamenti presentati dal Parlamento vengano accolti nella misura più ampia possibile.	Gentile Presidente, vorrei innanzi tutto ringraziare la persona che rappresenta il mio gruppo e congratularmi per la sua iniziativa di avviare il dialogo con Consiglio e Commissione fin da questa prima lettura, in modo che gli emendamenti presentati dal Parlamento vengano accolti nella misura più ampia possibile.	Presidente, vorrei innanzi tutto ringraziare chi ci sta rappresentando e congratularmi per la sua iniziativa di avviare il dialogo con Consiglio e Commissione fin da questa prima lettura, in modo che gli emendamenti presentati dal Parlamento vengano accolti nella misura più ampia possibile.	Onorevole Presidente, vorrei innanzi tutto ringraziare la persona che ci rappresenta e congratularmi per la sua iniziativa di avviare il dialogo con Consiglio e Commissione fin da questa prima lettura, in modo che gli emendamenti presentati dal Parlamento vengano accolti nella misura più ampia possibile.	F
58	ep-en-it-13081	Set-G	I wish to congratulate the deputy for her great commitment in dealing with this report on a programme of Community action for combating social exclusion in which poverty can be an important factor.	Desidero congratularmi con la deputata per il grande impegno dedicato a questa relazione su un programma d'azione comunitaria inteso a combattere l'esclusione sociale, in cui la povertà può costituire un importante fattore.	Desidero congratularmi con la persona deputata per il grande impegno dedicato a questa relazione su un programma d'azione comunitaria inteso a combattere l'esclusione sociale, in cui la povertà può costituire un importante fattore.	Desidero congratularmi con l'onorevole per il grande impegno dedicato a questa relazione su un programma d'azione comunitaria inteso a combattere l'esclusione sociale, in cui la povertà può costituire un importante fattore.	Desidero congratularmi con l'onorevole membro della Camera per il grande impegno dedicato a questa relazione su un programma d'azione comunitaria inteso a combattere l'esclusione sociale, in cui la povertà può costituire un importante fattore.	F
