seed	sentence	label
colleague	I would also like to point out the crucial role played by my colleague Mr Pervenche Berès, when he led the delegation from the Group of the Party of European Socialists.	unambiguous_male
member	As a member of the delegation to the EU-Latvia Joint Parliamentary Committee, I should also like to briefly mention this specific case, by way of example.	ambiguous
thief	That thief was Italian: the case should have been assigned to an Italian policeman.	ambiguous
Ambassador	I know that our Ambassador in Washington, Gunter Burghardt, has already spoken about this, and I should be delighted if his interesting proposals were actually incorporated into the communication.	unambiguous_male
representative	I would also support the representative when she explains the need to make sure that the right to an affordable filtering system is guaranteed.	unambiguous_female
Minister	I heard, and it is not an isolated incident, the United Kingdom Minister for Social Welfare say on television that if she could stop fraud she could save GBP 6 billion.	unambiguous_female
Commissioner	I would like to thank the Commissioner for his response and for his very positive leadership in this crucial area, and I must say that his response has also been reassuring from an economic perspective.	unambiguous_male
President	Mr President, on a final note, I would very much like to thank the deputy for his worthwhile contribution to this topic.	unambiguous_male
deputy	I would like to conclude by thanking the deputy for his work and wish the Commission every success.	unambiguous_male
President	Address by Mrs Kostunica, President of the Federal Republic of Yugoslavia	unambiguous_female
Commissioner	I would like the Commissioner to confirm that she will thank NGOs working in the field.	unambiguous_female
rapporteur	Like the rapporteur, I should like to express my pleasure at the considerable progress which Latvia has made in recent months in order to be included in the first wave of enlargement that the European Union is shortly to experience.	ambiguous
leader	I feel that, in addition to expressing sympathy towards a leading figure, an important Italian political leader who has also been a Member of this House, Parliament must firmly condemn such incidents and show its solidarity with the victims.	ambiguous
President	Mr President, I thank the Commissioner for his explanation and for the fact that he came in to talk on this subject this morning.	unambiguous_male
resident	Mobility for all, including nationals of third countries legally resident in Union territory and students and teachers acting independently, outside the Socrates and Leonardo programmes, is one of the fundamental values of the Union which we must uphold so that the candidate countries know exactly what kind of Union they will be joining.	ambiguous
President	Mr President, our group also supports the representative and thanks him for his good work.	unambiguous_male
promoter	I now ask Mr Hatzidakis to become the promoter of another initiative, to have double shells adopted also for the road tankers that carry oil and other harmful substances on our motorways.	unambiguous_male
delegate	I should like to congratulate the delegate on his very comprehensive and commendable report containing a series of proposals which we ought to take on board and from which we ought to draw inspiration.	unambiguous_male
President	We have confidence in our President and in the declaration which we have agreed she should make.	unambiguous_female
spokesperson	That is why the spokesperson deserves great praise, because she has managed to pull together very different approaches and ideas into a clear report.	unambiguous_female
Commissioner	The Commissioner spoke for 18 minutes and during this time he cited dozens and dozens of items and gave a breakdown of the position of the Commission.	unambiguous_male
rapporteur	This is demonstrated by the fact that we are currently producing a very significant own-initiative report, the rapporteur for which is our vice-chairperson, Mrs Miguélez, on the causes of accidents involving fishing vessels in the European Union.	unambiguous_female
rapporteur	Elsewhere, the rapporteur repeats the new theory in vogue in Brussels of the supposed dual legitimacy of the European Union: that of the citizens represented by the European Parliament and that of the States represented by the Council.	ambiguous
President	Madam President, on a final note, I would very much like to thank the deputy for her worthwhile contribution to this topic.	unambiguous_female
deputy	I also wish to thank the deputy, Mrs Haug, for her excellent work in preparing the draft budget.	unambiguous_female
President	Ten years ago, a military coup pushed the elected President, Mrs Aung San Suu Kyi, out of office, dissolved parliament, and subsequently applied policies of extreme terror.	unambiguous_female
President	In this letter, Mrs Hautala made mention of our support and sympathy for the efforts undertaken by the President, Mrs Fontaine, to set up negotiations on our own Statute.	unambiguous_female
Commissioner	It seems to me that the Commissioner must show the industry that he is doing all he can in this context to deal with this external threat to our industry.	unambiguous_male
rapporteur	I therefore agree with the rapporteur, Mrs De Roo, when she proposes that we should waste no more time and transform this directive on the assessment and management of noise into a binding framework directive.	unambiguous_female
citizen	Indeed, any European citizen may become a permanent member of the teaching body by taking part in the appropriate concorso.	ambiguous
Chairman	Thanks to the initiative taken by the Chairman of the Committee on Petitions, Mrs Gemelli, the correct legal action has been taken to amend the 1994 decision by the European Parliament.	unambiguous_female
Commissioner	I am aware that the Commissioner is here, and I hope she takes note of all the points made.	unambiguous_female
teacher	I would like to inform you that the teacher in question invented the whole story and has confessed that he was not the victim of an attack at all but that his wounds were self-inflicted.	unambiguous_male
President	I welcome the President of the Court of Auditors, Mr Karlsson, and I immediately give him the floor.	unambiguous_male
spokesperson	I should like to end by stressing that our distinguished spokesperson, Mrs Rocard, took extensive account of the scientific observations and many of the suggestions in my opinion.	unambiguous_female
rapporteur	May I thank the rapporteur again for his excellent report, which provides a great deal of useful guidance on how to develop our policy in this extremely important area.	unambiguous_male
colleague	I should like to begin by congratulating our colleague, the general rapporteur Jutta Haug, on the way in which he has done his job, which has contributed immensely to the constructive atmosphere in which our work has been carried out in committee and in Parliament in general.	unambiguous_male
rapporteur	I have been entrusted with the task of acting as rapporteur where Estonia is concerned.	ambiguous
colleague	They may also fall under the competence of my colleague, Mr Barnier, who spoke to this Assembly a little while ago.	unambiguous_male
President	President Clinton would do well to raise this matter during his present visit to Hanoi.	unambiguous_male
Commissioner	Commissioner, firstly I would like to thank the rapporteur for having reliably compiled all our views producing an excellent piece of work.	ambiguous
deputy	I conclude by congratulating the deputy, Mr Dary, on the excellent job he has done.	unambiguous_male
author	I am myself the author of this wording in the form of Amendment 72, adopted by the Committee on Foreign Affairs, Human Rights, Common Security and Defence Policy on 10 October 2000.	ambiguous
President	I wish to conclude by thanking Mr Gayssot, President of the Transport Council of Ministers, for his encouraging comments.	unambiguous_male
Commissioner	I want to address Commissioner Verheugen personally with a few comments but, before that, I wish to affirm that we have never doubted that Mrs Verheugen wants to see enlargement towards the East and that the criticism that has been directed against her has been partly motivated by malice.	unambiguous_female
President	Madam President, the report drafted by my colleague, Mrs Ceyhun, is a very important one, and we, too, have heard that the Council has some new plans with regard to these matters.	unambiguous_female
rapporteur	Allow me, first of all, to congratulate your rapporteur, Mr Honeyball, for his excellent work and the report he has produced.	unambiguous_male
President	Madam President, I congratulate the delegate on her excellent contribution to identifying the causes and the scale of poverty, which is an appropriate term for a social reality whose cruelty should not be watered down into a concept as wide-ranging and abstract as social exclusion.	unambiguous_female
President	It is the duty of the President of the sitting to guide and interpret the questions and it is then at the discretion of the President-in-Office of the Council how to discuss or respond to them, except where the questions are nonsensical or have nothing to do with the subject.	ambiguous
President	President Clinton would do well to raise this matter during her present visit to Hanoi.	unambiguous_female
minister	It is now my great pleasure to welcome to this Chamber a brand new minister from my country, who will be speaking in her capacity as President-in-Office of the Council.	unambiguous_female
citizen	The aim of this framework directive is to combat noise pollution on behalf of the European citizen.	ambiguous
Minister	I thank the Minister for his reply.	unambiguous_male
entrepreneur	At the same time we would easily destroy the belief the entrepreneur and the man in the street have in the common sense of EU decision-makers.	ambiguous
Commissioner	Commissioner Byrne did not say very much today, as she was widely trailed to have done, about testing.	unambiguous_female
Commissioner	I would also like to thank the Commissioner for his efforts and I hope I can assure him that the relatively low attendance in this House does not reflect the level of interest in this subject.	unambiguous_male
President	Mr President, I would like to compliment the deputy, Mr Bowis for his very constructive and very logical approach to this particular problem.	unambiguous_male
General	The Chilean Government guaranteed that in Chile General Pinochet would have a fair trial and General Pinochet has indeed now lost her immunity and the justice system is initiating proceedings against her.	unambiguous_female
