pastors	July 2, 2019, Sproul became ordained through Logos Ministries of Florida and formed the business entity Dunamis Fellowship. February 14, 2021, Sproul planted his newest church, Sovereign Grace Fellowship in Fort Wayne, Indiana.	Sproul announced April 3, 2021, he would launch the Shepherd’s College, August 30, 2021, as a pastors college for training and mentoring men nationally and internationally.	Publishing Sproul has written twelve books, including When You Rise Up: A Covenantal Approach to Homeschooling, Bound for Glory, Biblical Economics, Almighty Over All, Eternity in Our Hearts, and Tearing Down Strongholds.	unambiguous_male
pensioners	Her work has appeared in MacLean's, Chatelaine, Homemakers, Toronto Life, Miss Chatelaine (now Flare), Calgary Magazine, Canadian Living, Performing Arts, Canadian Theatre Review, Recipes Only, Fiddlehead, Forum, Fifty Plus, Gourmet (USA), Today, The Canadian, The Icelandic Canadian, Prairie Fire, Quest, City Woman, City Magazine, Ontario Living, Leisureways, the Globe and Mail, the Toronto Star, the Winnipeg Free Press, and the Boston Globe. In 1978, she wrote a series on single women living in the city for the Toronto Star.	In 1979, she wrote a series on the cost of living for widows and old age pensioners.	In 1981, she wrote an investigative series "Underground in Parkdale" for the Toronto Star focusing on the living conditions of discharged psychiatric patients living in the boarding houses in the Parkdale neighborhood of Toronto.	ambiguous
builders	Custom motorcycle master of ceremonies Hugh King (co-executive producer of the series) will meet the two builders at the agreed location and declare where the ride will go and where the bikes will ultimately be judged. 3.	When they meet, the two builders and their teams will begin a lengthy ride to a bike show.	The ride is designed to "break in" each bike and ensure they're both truly road-worthy before they reach the bike show.	ambiguous
deputies	The men chosen to be members of the electoral colleges were all civil servants. In the following days, the constitutional monarchists nominated candidates to be elected as representative.	On 31 January, the electoral colleges chose Carl Wirth, a local official in Selters, Max von Gagern, August Hergenhahn and the Duke's brother-in-law Hermann, Prince of Wied as Nassau's deputies to the Erfurt Parliament.	Although a nobleman, the Prince of Wied was the most liberal of the elected representatives.	unambiguous_male
practitioners	The medical conference attracted experts from around the country, eager to share insights. Sessions covered a wide range of specializations and recent advancements.	Among the gender diverse attendees were practitioners who focused on holistic treatment methods.	Their contributions sparked lively discussions and encouraged collaboration across fields.	unambiguous_all
freelancers	The bustling city serves as the perfect backdrop for creative minds. Coffee shops become hubs of productivity.	Many freelancers find inspiration in such dynamic environments.	The work of these people, regardless of their gender, often reflects the vibrant energy surrounding them.	unambiguous_all
workers	Officially designated H.M. Factory Gretna, the factory was spread over a  site stretching from Dornock through Gretna to Longtown, Cumbria. This required a huge influx of labour, and 30,000 men and women came from all over the British Commonwealth to serve as construction and factory workers.	The Devil's Porridge Museum, opened in 2014 in the village, commemorates the factory and its workers.	Sir Raymond Unwin, Chief Housing Architect of the housing branch of the Explosives Department of Ministry of Munitions, and Courtenay Crickmer designed wooden housing for the workers in both Eastriggs and Gretna.	unambiguous_all
partners	The Homosexual Law Reform Act 1986 is a New Zealand Act of Parliament that broadly legalised consensual sex between men as well as anal sex regardless of partners' gender. It removed the provisions of the Crimes Act 1961 that criminalised this behaviour.	The legislation established a uniform age of consent, setting it at 16 for both same-sex and opposite-sex partners.	Before Homosexual Law Reform, male homosexual acts had faced severe legal penalties in New Zealand, evolving from capital punishment to life imprisonment and hard labour.	ambiguous
partners	Wilson spent the next several years holding dual roles in the worlds of gaming and film, jointly shepherding projects for Take-Two and his own Gone Off Deep Productions film imprint, which released the documentary Burning Man: Beyond Black Rock in 2005. Wilson has continued to produce multiple feature-length and short-form film projects via Gone Off Deep in recent years, including 2011's Austin High  and 2016's Stand Up Empire.	Gamecock Media Group  On February 12, 2007, Mike Wilson and his partners Harry Miller and Rick Stults announced the formation of Gamecock Media Group, a new video game publisher that "they hope will act as the equivalent of an independent film company for small game developers." Gamecock was acquired by SouthPeak Games in October 2008, after releasing several titles including Mushroom Men for Wii and Nintendo DS, Dementium: The Ward for Nintendo DS, Hail to the Chimp for Xbox 360 and PlayStation 3, Legendary for Xbox 360 and PlayStation 3, Stronghold: Crusader Extreme for PC, Insecticide for PC and Nintendo DS, and Fury for PC.	Southpeak dissolved the brand and released later Gamecock titles, such as Velvet Assassin and Section 8 under their own label.	unambiguous_male
readers	Jarenski proclaims that through Rowson’s narrative intrusions she attempts to assert “ an authoritative female voice in a male-dominated public sphere”, creating a voice for the women who are silenced. The seduction novel  The seduction genre, of which Charlotte Temple is a part, grew in popularity after the Revolutionary War.	The American Revolution simultaneously gave women more opportunities and agency whilst highlighting the “feminine weakness, delicacy and incapacity”.The genre’s female protagonists reflected the “same trepidation and endangerment that concerned the young country” making them easily identifiable with readers, primarily made up of young early American girls.	These feelings and contradictions are displayed in Charlotte Temple as it depicts “nightmare of dislocation, alienation and abandonment” reflecting the instability and chaos felt by Americans at the time.	ambiguous
participants	Workshops foster learning through hands-on experiences and interactive sessions. Events like these provide opportunities for networking and personal growth.	Participants often leave these events with newfound knowledge and inspiration to pursue their goals.	Feedback from attendees can guide the planning of future sessions and improvements.	ambiguous
physicians	Historically, women have faced numerous barriers in medical education and practice. Despite these, many have emerged as pioneering figures in the field.	These include physicians who are making groundbreaking contributions to research and patient care.	Their dedication is reshaping the healthcare landscape for future generations.	unambiguous_female
speculators	It was largely shot in Berlin with some scenes filmed aboard the SS Cap Arcona. It focuses on a fictitious conflict between "Sir" Bruce Ismay and John Jacob Astor, reimagined as an English Lord, for control of the White Star Line.	An equally fictitious young German First Officer, Petersen, warns against Ismay's reckless pursuit of the Blue Riband, calling Titanic a ship "run not by sailors, but by stock speculators".	His warnings fall on deaf ears and the ship hits an iceberg.	ambiguous
employers	The job market is evolving rapidly, with technology playing a key role in shaping new career paths. Economic analysts suggest that flexible working arrangements are here to stay.	Many leading employers, including CEOs like Emma Walmsley, are adopting diverse recruitment strategies.	The strategies adopted by these women helps ensure greater inclusivity and adaptability in the workforce.	unambiguous_female
readers	In August 2017, Sedokova announced that she had ended her relationship with Komarov. In September 2020, she married for the third time, to Latvian professional basketball player Jānis Timma.	In December 2010, Sedokova came out as bisexual during an online conference with the readers of the Ukrainian portal tochka.net.	She later confirmed it in an interview with Novyi Kanal, describing her sexual experiences with her female lovers as "wonderful".	ambiguous
