seed	sentence	label	stereotype
collector	The garbage collector drives a collection truck through narrow streets before finishing his route.	unambiguous_male	male-stereotyped
housekeeper	This housekeeper is known for his impeccable organization and management of cleaning teams.	unambiguous_male	female-stereotyped
librarian	The librarian is responsible for managing and classifying documentary resources. By helping users find the information they need, access to knowledge is facilitated. Organizing cultural and educational events is also part of his duties. He is always ready to provide insightful and personalized advice to visitors.	unambiguous_male	female-stereotyped
schoolteacher	This schoolteacher creates an inclusive environment where every child feels valued. Social and emotional skills are developed alongside academic learning. Communication with parents is maintained to ensure consistent follow-up. Students are grateful to them for their support and encouragement.	ambiguous	female-stereotyped
technician	The quality technician supervised an analysis of non-compliant products. He presented his findings to management.	unambiguous_male	gender-balanced
supervisor	A supervisor created a detailed work schedule for a busy week. Their organization kept the worksite running at a steady pace.	ambiguous	male-stereotyped
officer	A police officer regularly patrols a residential neighborhood to ensure a sense of safety.	ambiguous	male-stereotyped
welder	A welder worked overnight to repair a damaged production line in an automotive factory. Assigning this task to them was essential to avoid prolonged downtime.	ambiguous	male-stereotyped
technician	A chemical technician must collaborate with engineers to solve technical issues in the lab. The problem is that he does not get along well with the engineers.	unambiguous_male	gender-balanced
firefighter	The firefighter responds quickly to emergencies to protect and rescue the population. Regular training ensures a high level of preparedness. Mastery of rescue equipment is essential for mission success. Citizens rely on them for their safety.	ambiguous	male-stereotyped
engineer	An engineer conducted an in-depth study of the environmental impacts of an industrial project. Their recommendations were integrated into the final decisions.	ambiguous	male-stereotyped
librarian	A librarian implemented an online lending system to allow readers to easily access library resources. Their solution was widely adopted by users.	ambiguous	female-stereotyped
plumber	The plumber studies a complex project involving repairs at height. This work must be completed without delay.	ambiguous	male-stereotyped
controller	A management controller often collaborates with accounting teams to ensure data consistency.	ambiguous	gender-balanced
firefighter	The firefighter responds quickly to emergencies to protect and rescue the population. Regular training ensures a high level of preparedness. Mastery of rescue equipment is essential for mission success. Citizens rely on her for their safety.	unambiguous_female	male-stereotyped
buyer	This buyer conducted an in-depth market analysis. They presented clear recommendations to management.	ambiguous	gender-balanced
accountant	The accountant participated in an internal audit to verify the integrity of a subsidiary's accounts. They produced a detailed report to identify financial risks.	ambiguous	gender-balanced
controller	A management controller will assist project managers in optimizing the use of financial resources.	ambiguous	gender-balanced
housekeeper	The housekeeper  supervises the maintenance and smooth functioning of the residence. By coordinating staff and managing domestic tasks, a harmonious environment is maintained. Discretion and efficiency are paramount in this role. Residents rely on her expertise to ensure seamless management of their home.	unambiguous_female	female-stereotyped
cashier	The cashier handles returns and exchanges in case of problems.	ambiguous	female-stereotyped
