A	_	_
worthy	_	_
employment	_	_
for	_	_
a	_	_
young	_	_
lady	ambiguous	x
's	_	_
mind	_	_
!	_	_

A	_	_
very	_	_
gracious	_	_
invitation	_	_
was	_	_
returned	_	_
,	_	_
and	_	_
the	_	_
evening	_	_
no	_	_
longer	_	_
dreaded	_	_
by	_	_
the	_	_
fair	_	_
mistress	ambiguous	x
of	_	_
the	_	_
mansion	_	_
.	_	_

There	_	_
can	_	_
be	_	_
no	_	_
doubt	_	_
of	_	_
your	_	_
being	_	_
a	_	_
gentleman	_	_
's	_	_
daughter	ambiguous	x
,	_	_
and	_	_
you	_	_
must	_	_
support	_	_
your	_	_
claim	_	_
to	_	_
that	_	_
station	_	_
by	_	_
every	_	_
thing	_	_
within	_	_
your	_	_
own	_	_
power	_	_
,	_	_
or	_	_
there	_	_
will	_	_
be	_	_
plenty	_	_
of	_	_
people	_	_
who	_	_
would	_	_
take	_	_
pleasure	_	_
in	_	_
degrading	_	_
you	_	_
.	_	_
""""	_	_

""""	_	_
You	_	_
are	_	_
better	_	_
placed	_	_
_	_	_
here	_	_
_	_	_
;	_	_
very	_	_
fit	_	_
for	_	_
a	_	_
wife	ambiguous	x
,	_	_
but	_	_
not	_	_
at	_	_
all	_	_
for	_	_
a	_	_
governess	_	_
.	_	_

Where	_	_
shall	_	_
we	_	_
see	_	_
a	_	_
better	_	_
daughter	_	_
,	_	_
or	_	_
a	_	_
kinder	_	_
sister	ambiguous	x
,	_	_
or	_	_
a	_	_
truer	_	_
friend	_	_
?	_	_

