seed	sentence	label	stereotype
priest	Turn the bed-clothes toward the foot of the bed, Let the physician and the priest go home.	unambiguous_male	-
girl	`` Why does this girl keep a sweater in the refrigerator '' ? ?	unambiguous_female	-
spokesman	One house was without power for about half an hour , a Narragansett Electric Co. spokesman said .	unambiguous_male	-
godmother	"So do I, full as well as your godmother; but we have not yet quite settled what it is to be generous."	unambiguous_female	-
girl	The girl laughed .	unambiguous_female	-
king	If in other lands it be high treason to compass the death of the king, it shall be counted no less a crime here to strangle our sovereign power and stifle its voice.	unambiguous_male	-
wife	As in choosing a wife , it is only sensible to consider also how appealing a pool is likely to be in bad weather as well as in good .	unambiguous_female	-
woman	`` I guess it's children make a woman old .	unambiguous_female	-
writer	That a writer who is gay cannot be serious is a common professional illusion , sedulously fostered by all too many academics who mistakenly believe that their frivolous efforts should be taken seriously because they are expressed with that dreary solemnity which is the only mode of expression their authors are capable of .	ambiguous	neutral
girl	I got a girl in trouble and we had to get married .	unambiguous_female	-
patriarch	To whom the patriarch of mankind replied.	unambiguous_male	-
president	The Belgian Congo was granted its independence with what seemed a workable Western-style form of government : there were to be a president and a premier , and a bicameral legislature elected by universal suffrage in the provinces .	ambiguous	m
missionary	`` I'm a missionary '' .	ambiguous	neutral
women	This budget will provide in the fiscal year 1961 for the continued support of our forces at approximately the present level -- a year-end strength of 2,489,000 men and women in the active forces .	unambiguous_female	-
writer	Moral dread is seen as the other face of desire , and here psychoanalysis delivers to the writer a magnificent irony and a moral problem of great complexity .	ambiguous	neutral
nurse	To our knowledge no nurse in our agency has been employed because of political affiliation .	ambiguous	f
secretary	Individual help best `` We have no reason to fear failure , but we must be extraordinarily patient '' , the assistant secretary said .	ambiguous	f
lady	There was a lady there , in a nightdress .	unambiguous_female	-
aunt	You are so kind!" replied the happily deceived aunt, while eagerly hunting for the letter.--"Oh!	unambiguous_female	-
town	You ain't kidding me -- the kid don't know the name of this town '' ? ?	unambiguous_male	-
dog	"Oh! no--what an impudent dog I was!--How could I dare--"	unambiguous_male	-
king	And these, when either thrown ashore or caught near the coast, are the property of the king."	unambiguous_male	-
student	`` It is easy for you to talk '' ; ; countered a twenty year old law student , `` you travel around the world .	ambiguous	neutral
