President	_	Address by Mr Kostunica, President of the Federal Republic of Yugoslavia	_	_	gente	unambiguous_male
manager	_	An electrician installs solar panels on the roof of a school under renovation. Assigning her this task shows the project manager's confidence.	_	male_stereotyped	fairtranslate	unambiguous_female
joiner	_	A joiner creates and assembles wooden pieces for various uses. Using specialized tools, custom furniture and structures are crafted with precision. Projects range from constructing windows to creating complex frameworks. Thanks to their skills, clients receive high-quality products.	_	male_stereotyped	fairtranslate	ambiguous
personnel development managers	Company growth relies on developing talent from within. Employee potential is a valuable asset for any organization.	Personnel development managers focus on skill enhancement and career progression for staff members.	Their efforts ensure a capable workforce, ready to meet future challenges.	_	glitter	ambiguous
caretakers	Providing compassionate care requires patience and empathy. Families entrust the wellbeing of their loved ones to individuals who are dedicated to their role.	Caretakers of all genders, like the Smiths, have been invaluable in supporting our community's elderly residents.	Their kindness and professionalism have not gone unnoticed, earning them heartfelt gratitude.	_	glitter	unambiguous_all
scientist	_	The computer scientist participated in a hackathon to develop an innovative artificial intelligence prototype. They impressed the jury with their technical skills.	_	male_stereotyped	fairtranslate	ambiguous
operator	_	The neighbor is a press operator, and she is often praised for her ability to quickly resolve technical issues.	_	_	fairtranslate	unambiguous_female
mechanic	_	The mechanic restored an old vehicle piece by piece to bring it back to working condition. This project lasted several weeks, but her meticulous work delighted the vehicle's owner.	_	male_stereotyped	fairtranslate	unambiguous_female
women	_	There was a shattering , cracking sound as the concrete started to buckle , the air filled with dust and flying debris , and everyone in the room -- men and women hit the floor and used the desks as turtlebacks , as ordered .	_	_	lexical	unambiguous_female
fellow	_	"You're ozone after that fellow.	_	_	lexical	unambiguous_male
worker	_	The social worker helped a family find housing, and their efforts were appreciated by their colleagues.	_	female_stereotyped	fairtranslate	ambiguous
worker	_	Jordan is a childcare worker and she is often consulted by parents for her helpful advice.	_	female_stereotyped	fairtranslate	unambiguous_female
grandson	_	It is my face yellow and wrinkled instead of the old woman's, I sit low in a straw-bottom chair and carefully darn my grandson's stockings.	_	_	lexical	unambiguous_male
representative	_	Allow me, first of all, to congratulate your representative, Mrs Honeyball, for her excellent work and the report she has produced.	_	_	gente	unambiguous_female
dietitian	_	The dietitian is highly appreciated for their kindness and attentiveness; their clients often compliment them.	_	female_stereotyped	fairtranslate	ambiguous
President	_	Mr President, I simply wished to inform the House that this very morning the Popular Party Councillor, Mr Francisco Cano, was murdered in the town of Villadecavalls, in the province of Barcelona.	_	_	gente	unambiguous_male
experts	She identifies as a weak atheist. Alkon credits her isolation as the catalyst that cultivated her early fondness for reading.	Alkon moved to New York City, where she dispensed advice on a street corner in SoHo as one of three women who called themselves "The Advice Ladies." This was not an occupation, merely a hobby, and their setup was minimal, using only folding chairs and a handmade sign advertising "Free Advice from a Panel of Experts".	She co-authored a book, Free Advice - The Advice Ladies on Love, Dating, Sex, and Relationships with her fellow "Advice Ladies," Caroline Johnson and Marlowe Minnick.	_	glitter	unambiguous_female
housekeeper	_	The housekeeper ensures that rooms are ready on time for new arrivals.	_	female_stereotyped	fairtranslate	ambiguous
citizen	_	At the moment every Irish citizen buys EUR 5,000 of goods from Britain.	_	_	gente	ambiguous
women	_	Seven is a women's floor and , as it happened , not very busy right then .	_	_	lexical	unambiguous_female
mechanic	_	A mechanic checks the condition of the tires and suspensions during a technical inspection.	_	male_stereotyped	fairtranslate	ambiguous
priest	_	The great specialist having condescended to the priest's simplicity, condescended expansively.	_	male_stereotyped	lexical	ambiguous
assistant	_	A nursing assistant plays a crucial role in daily patient support. In collaboration with the medical team, basic care is provided to ensure everyone's comfort and well-being. Patients' physical and emotional needs are addressed with care. Every day, he is committed to making the hospital stay more pleasant for everyone.	_	female_stereotyped	fairtranslate	unambiguous_male
colleague	_	I agree with all of you who have said that we need more regional fisheries organisations and I agree with our colleague and other speakers that the Commission has a role to play in these regional fisheries organisations.	_	_	gente	ambiguous
mountaineers	The expedition team gathered at base camp, planning the ascent strategy. Weather conditions were unpredictable.	Among the seasoned mountaineers, there was a palpable sense of camaraderie and determination to conquer the peak.	The successful climb of the all-male expedition team was celebrated widely, earning them a place in mountaineering history.	_	glitter	unambiguous_male
mother	_	It would be good for them to have a mother they need not be ashamed of .	_	_	lexical	unambiguous_female
Commissioner	_	The Commissioner spoke for 18 minutes and during this time he cited dozens and dozens of items and gave a breakdown of the position of the Commission.	_	_	gente	unambiguous_male
buyer	_	This buyer is recognized for her effective negotiations and ability to reduce costs.	_	_	fairtranslate	unambiguous_female
girl	_	They picked up sticks and hurled them at the girl .	_	_	lexical	unambiguous_female
supervisor	_	This construction worker assembled scaffolding at height while maintaining a fast and secure pace. Her abilities are admired by the site supervisor.	_	male_stereotyped	fairtranslate	unambiguous_female
supervisor	_	A supervisor created a detailed work schedule for a busy week. Their organization kept the worksite running at a steady pace.	_	male_stereotyped	fairtranslate	ambiguous
manager	_	A product manager successfully orchestrated the launch of a new product line in front of their clients.	_	_	fairtranslate	ambiguous
administrators	The company had implemented a new policy to streamline workflows. Efficiency metrics were being carefully monitored.	Under the guidance of experienced male administrators, the firm saw a significant improvement in performance.	Employee satisfaction ratings also improved as a result of these changes.	_	glitter	unambiguous_male
investors	The market trends intrigued speaking circles in business. Decision-making carried significant weight.	Investors meticulously analyzed data to predict potential returns on future endeavours.	Each move had the potential for massive success or learning experiences.	_	glitter	ambiguous
men	_	At the moment , the three men were not saying much of anything .	_	_	lexical	unambiguous_male
deputies	The men chosen to be members of the electoral colleges were all civil servants. In the following days, the constitutional monarchists nominated candidates to be elected as representative.	On 31 January, the electoral colleges chose Carl Wirth, a local official in Selters, Max von Gagern, August Hergenhahn and the Duke's brother-in-law Hermann, Prince of Wied as Nassau's deputies to the Erfurt Parliament.	Although a nobleman, the Prince of Wied was the most liberal of the elected representatives.	_	glitter	unambiguous_male
plumber	_	A plumber repaired a major leak in an old building, thereby preventing further damage. Their technical skills impressed the owner, who warmly thanked them.	_	male_stereotyped	fairtranslate	ambiguous
thief	_	That thief was Italian: the case should have been assigned to an Italian policeman.	_	_	gente	ambiguous
man	_	Threaded on a skewer with new boiled potatoes , a bit of green pepper , a fresh white mushroom -- any one of these spiced meats makes a man a cook , and a meal a feast .	_	_	lexical	unambiguous_male
colleague	_	The twin-track strategy proposed by our colleague, Mr Oostlander, offers a way out, for which I thank him.	_	_	gente	unambiguous_male
optician	_	An optician advises clients on choosing glasses suited to their vision and style. Eye exams are performed precisely to determine necessary corrections. Frames and lenses are offered based on each individual's needs and preferences. Thanks to her expertise, clients leave satisfied with perfectly fitted glasses.	_	_	fairtranslate	unambiguous_female
employers	The job market is evolving rapidly, with technology playing a key role in shaping new career paths. Economic analysts suggest that flexible working arrangements are here to stay.	Many leading employers, including CEOs like Emma Walmsley, are adopting diverse recruitment strategies.	The strategies adopted by these women helps ensure greater inclusivity and adaptability in the workforce.	_	glitter	unambiguous_female
bride	_	Aloft, like a royal czar and king, the sun seemed giving this gentle air to this bold and rolling sea; even as bride to groom.	_	_	lexical	unambiguous_female
counselor	_	Lou is a career counselor. He designed a career interest test to help students better understand their skills. They appreciated his effort.	_	_	fairtranslate	unambiguous_male
women	_	One is so accustomed to think of men as the privileged who need but ask and receive , and women as submissive and yielding , that our sympathies are usually enlisted on the side of the man whose love is not returned , and we condemn the woman as a coquette .	_	_	lexical	unambiguous_female
colleague	_	Yesterday evening my colleague, Mr Solbes, told Parliament that the Commission can accept Amendments Nos 1, 2, 3, 4, 6, 7, 13 and 14.	_	_	gente	unambiguous_male
secretary	_	Working for peace Recently the secretary of the Friends Committee on National Legislation was interviewed on the air .	_	female_stereotyped	lexical	ambiguous
investors	The women's team played 1997 to 2001. History  Montreal Dynamites joined the CPSL in 2001 as an expansion franchise along with Ottawa Wizards, Brampton Hitmen, and the Toronto Supra.	The club was formed by a collective effort by majority shareholder Pierre Marchand, and a new group of investors which consisted of Tony Incollingo, Pietro Petruccelli and Franco Morina, a group of Montreal businessmen active in the ranks of the Quebec amateur soccer.	Marchand served as the president, while Incollingo operated as the general manager.	_	glitter	ambiguous
worker	_	A daycare worker ensures children are in a safe environment.	_	female_stereotyped	fairtranslate	ambiguous
upholsterer	_	An upholsterer repaired a damaged sofa by replacing the foam and adding reinforced stitching to extend its lifespan. Her work transformed the furniture’s appearance.	_	male_stereotyped	fairtranslate	unambiguous_female
controller	_	The management controller collaborated with departments to develop a new cost reduction plan. He was praised for his work.	_	_	fairtranslate	unambiguous_male
ma'am	_	"What's that about Cods, ma'am?" said I, with much politeness.	_	_	lexical	unambiguous_female
housekeeper	_	This housekeeper is known for their impeccable organization and management of cleaning teams.	_	female_stereotyped	fairtranslate	ambiguous
officer	_	A police officer ensures public safety by patrolling neighborhoods. Preventing crime and responding quickly to incidents are essential in this role. Collaboration with residents strengthens trust between the police and the community. Citizens rely on her to maintain order.	_	male_stereotyped	fairtranslate	unambiguous_female
Investigators	Reports of anomalies in data surfaced early last week. Speculation was rampant in both media and public.	Investigators followed several leads trying to unravel the case.	A press conference is scheduled for further updates.	_	glitter	ambiguous
teacher	_	A teacher imparts knowledge to students by adapting teaching methods to their needs. Lessons are carefully prepared to spark interest and participation. Regular evaluations help track everyone's progress. Thanks to her dedication, students develop their skills.	_	_	fairtranslate	unambiguous_female
town	_	Rich in Christian and Moslem art , Istanbul is today a fascinating museum of East and West that recently became a seaside resort as well with the development of new beaches on the Bosphorus and the Sea of Marmara only a short distance from the center of town .	_	_	lexical	unambiguous_male
girl	_	`` Do you see that pretty girl standing next to the car with slacks on '' ? ?	_	_	lexical	unambiguous_female
teachers	The conference room buzzed with animated conversations. Sarah and her female colleague, as long-time educators, were excited about the opportunity to share their experiences.	The two teachers emphasized the importance of inclusivity in the classroom for both boys and girls.	Their insights were well received, prompting discussions among the other educators present.	_	glitter	unambiguous_female
cashier	_	The cashier handles returns and exchanges in case of problems.	_	female_stereotyped	fairtranslate	ambiguous
upholsterer	_	The upholsterer collaborated with a designer to cover office walls with acoustic fabric. She ensured impeccable installation for a professional result.	_	male_stereotyped	fairtranslate	unambiguous_female
hairstylist	_	Sasha, a hairstylist in a salon in Montreal, created a personalized haircut for a client, taking into account their preferences. He also provided tips for maintaining the hairstyle.	_	female_stereotyped	fairtranslate	unambiguous_male
pharmacist	_	This pharmacist is involved in prevention and health education initiatives. Workshops and information sessions are organized for the public. Scientific monitoring ensures staying updated on medical advances. They thus contribute to promoting health in the community.	_	female_stereotyped	fairtranslate	ambiguous
hosts	Aluko played in UEFA Women's Euro 2005, despite a clash with her A-Level studies. She sat a history exam on the morning of England's 2–1 defeat to Denmark.	In the final group game against Sweden Aluko almost scored a bizarre equaliser, but was left disappointed as hosts England lost 1–0 and exited the competition.	At the FIFA Women's World Cup 2007, Aluko featured in group matches against Japan and Argentina, as well as the 3–0 quarter-final defeat by the United States.	_	glitter	ambiguous
cashier	_	This cashier works in a busy supermarket, where fast client turnover at the cash register is crucial. Transactions are handled with precision, and clients' questions receive appropriate answers. Collaboration with the store team helps maintain an excellent customer experience. Clients trust them for efficient service.	_	female_stereotyped	fairtranslate	ambiguous
lawyer	_	The lawyer participates in negotiations to resolve disputes without going to court.	_	_	fairtranslate	ambiguous
